entry_id,audio_index,label,response,correct,mean_cosine,std_cosine,cosine_count,sampling_method,vsv_lambda
22762,YkF1KWybdRpM,Yes,No,False,-0.0019449750252533704,0.051419977119949216,96,adversarial,0.05
5604,YTdl9SmBbRnA,Yes,Yes,True,-0.0010287480108672753,0.04354999450478621,64,random,0.05
18361,YDc2WEiRk0rA,Yes,Yes,True,-0.029371886455919594,0.04480351004241341,96,adversarial,0.05
1917,Y_AcJVyToQUQ,Yes,Yes,True,0.010676584901375463,0.04105928649371708,64,random,0.05
8601,Yktc_tJxw8sc,No,Yes,False,0.015368996420875192,0.0539192083758494,96,random,0.05
25474,Y7RMpCCkQks0,No,Yes,False,-0.02125974632508587,0.07448800242956237,96,adversarial,0.05
23993,Y3Sml1wHcuxo,No,No,True,0.00417541092610918,0.05904776767376999,96,random,0.05
21706,YFeHndzYAUkg,Yes,Yes,True,-0.018913969659479335,0.05488210638994148,64,random,0.05
1601,YFA11v4SmdBc,No,No,True,0.00971623129589716,0.040941428560611774,96,random,0.05
15785,YpWQeV08kYR0,Yes,Yes,True,0.00799548265786143,0.03663359586619891,96,random,0.05
5305,YqF72bT878gw,Yes,Yes,True,-0.02275541945709847,0.08184449511503242,64,adversarial,0.05
12697,Y7XXSOzDQ2z0,No,Yes,False,-0.016680209304468008,0.08537560398407636,64,adversarial,0.05
18923,YIsUG5SKWNZA,No,Yes,False,0.002379622941589332,0.031859092736527275,64,random,0.05
13033,YhV4bDCBDCy0,No,Yes,False,0.0018532287867856212,0.03981477310539915,96,popular,0.05
13058,Y6cyKp3EDm-0,Yes,No,False,0.010145787167857634,0.03582652153219841,96,adversarial,0.05
29961,YMVGhC-xB79s,Yes,Yes,True,0.009031058652908541,0.05134098266234473,96,adversarial,0.05
24475,YEcihYbSlyck,No,Yes,False,-0.009589677574695088,0.033816797259931634,64,popular,0.05
10701,Ye4ph6bIC5zc,Yes,Yes,True,0.005125224735820666,0.03400561950100227,96,adversarial,0.05
25563,YIKnx3hJv1bs,Yes,No,False,-0.008170038841853966,0.03183089905322479,96,adversarial,0.05
23518,Y0G7rb74R-2A,Yes,Yes,True,-0.0017503528215456754,0.04148103527283647,64,popular,0.05
10293,YAMQei29haCw,No,No,True,0.0009465379553148523,0.04511704468925431,96,random,0.05
19610,YOxUVcZmeiyI,No,No,True,-0.010226037025859114,0.03279157343893381,96,popular,0.05
23093,Yn4VktYihtJU,Yes,No,False,-0.006284622257226147,0.07128833913016536,320,random,0.05
23983,Y9vZDsGjyh5M,Yes,No,False,0.006054321987903677,0.07102624670015313,96,adversarial,0.05
12521,YptIksg9KEac,Yes,Yes,True,-0.017108923973864876,0.03429690465585407,96,adversarial,0.05
8313,Yj0KvrVE_Oww,Yes,Yes,True,-0.00515956107119564,0.03755669410307647,96,adversarial,0.05
5133,YgQMTOKsCIyk,No,Yes,False,-0.00044451956637203693,0.050206605249847325,64,adversarial,0.05
9898,Ygr5Zss89yLQ,Yes,No,False,0.008911936572985724,0.02857001372243242,96,random,0.05
27541,YBoe3MeEpn_c,No,No,True,0.006659116654191166,0.08506660995655488,64,random,0.05
13023,YMdlEswBfZMQ,Yes,Yes,True,-0.001824598468374461,0.047051573802814245,96,random,0.05
7509,YZsf2YvJfCKw,Yes,No,False,0.017170741222798824,0.03875243640568093,96,popular,0.05
8351,YilspW7JRjAg,Yes,No,False,-0.0039079287817003205,0.035514255439673265,96,adversarial,0.05
8473,YBL8ksJ0sTXk,No,Yes,False,-0.01617851668561343,0.031580735374196534,96,adversarial,0.05
14440,Yos_2U4xqTqw,No,No,True,-0.0093990737805143,0.03733089495424238,96,adversarial,0.05
9463,YD1Sy7kRoaR8,Yes,Yes,True,0.01989085442983196,0.06851301405356368,64,random,0.05
20390,YH7-orYrKBeo,Yes,Yes,True,0.005466030284878798,0.04345387466093663,96,popular,0.05
4743,Y79XDcI6xZm0,Yes,Yes,True,-0.0003176116297254339,0.03993128971651273,64,random,0.05
30640,YBQ-r9mEHssU,Yes,No,False,0.0003466418420430273,0.082642921352399,96,popular,0.05
28466,YlrKGCtSsAkA,Yes,Yes,True,-0.02220119835692458,0.04432213935715486,96,random,0.05
6153,YoOMtaqvQ3_M,Yes,Yes,True,-0.009182646637782454,0.0397906665745871,96,popular,0.05
29051,Y7bO0AJI-ihs,No,No,True,-0.022506631547003053,0.03624568191563896,96,adversarial,0.05
28667,Y--0w1YA1Hm4,No,No,True,0.01464545055932831,0.04944252433867588,96,random,0.05
1006,Ypaf0nyjg1Js,Yes,Yes,True,-0.0023390967107843608,0.04153412299119284,64,random,0.05
13121,YpPLisQ_QXxw,Yes,Yes,True,-0.027223913893976714,0.08347703119063922,96,random,0.05
8080,Yjs4dr5JusdM,No,No,True,0.0034328223700867966,0.05250290197490206,96,adversarial,0.05
27652,YBz9Y5nZK3eo,Yes,Yes,True,-0.04523196318768896,0.06653842438485393,64,adversarial,0.05
29340,Y7bO0AJI-ihs,No,Yes,False,-0.014791984234761912,0.04270851836818958,64,popular,0.05
20877,YhFCmq9pCBbM,Yes,Yes,True,0.0021014148951508105,0.04170215469913964,64,popular,0.05
11258,YinSvboaSRwA,Yes,No,False,0.01683419851178769,0.05058409743680033,96,popular,0.05
14666,Y1OyEgzXCkYE,No,No,True,-0.009780123757082038,0.07257263908382047,96,adversarial,0.05
