entry_id,audio_index,label,response,correct,sampling_method,base_lambda
9515,Yz4MeV9IGVo0,No,Yes,False,popular,0.02
0,Y7fmOlUlwoNg,Yes,No,False,popular,0.02
18713,YatmDP_fmK_8,No,Yes,False,popular,0.02
9448,YIJ6pm5Kns8A,No,Yes,False,popular,0.02
24082,YlX3k5p2I_g0,Yes,Yes,True,adversarial,0.02
18680,YTgxst7Ft9js,Yes,Yes,True,random,0.02
2440,YK03ydb1uaoQ,Yes,Yes,True,random,0.02
14538,YkVYNXZd0MMY,No,Yes,False,popular,0.02
25772,YiOCpICiu4LA,No,Yes,False,adversarial,0.02
15409,YhpDltmawxIM,No,No,True,popular,0.02
12853,Y8b9z7N25DmU,No,Yes,False,adversarial,0.02
12710,YTtRtURWVYBE,Yes,Yes,True,adversarial,0.02
2943,Yu9px4Lwv9XI,No,No,True,adversarial,0.02
24694,Y3ejndVEAcmQ,Yes,No,False,popular,0.02
23452,YR_g4RpU9mO0,No,No,True,adversarial,0.02
6956,Yg5l3Bz6lWnc,Yes,No,False,popular,0.02
3168,YOMGHnJV0l2U,Yes,No,False,adversarial,0.02
18697,Y1_z6NcidGzM,Yes,Yes,True,popular,0.02
9674,YE3D_z0aoUEg,Yes,No,False,popular,0.02
17787,YynHdcJ9Oqaw,No,Yes,False,adversarial,0.02
15011,Y1j5NMuq1X30,No,No,True,adversarial,0.02
15596,Y1Uh74_rZ72k,Yes,Yes,True,popular,0.02
19964,YSCow4mpBsGY,Yes,Yes,True,random,0.02
24185,YjYPU6aSDo88,Yes,Yes,True,adversarial,0.02
22424,Ym_NCf-q4Gn0,Yes,Yes,True,popular,0.02
26216,YFc9pG54DDJM,Yes,No,False,adversarial,0.02
8436,YL_CNz9Vrtkw,Yes,Yes,True,adversarial,0.02
13303,Y_C2HinL8VlM,No,Yes,False,adversarial,0.02
15896,YfWvWhLJ5Fow,Yes,Yes,True,random,0.02
12579,Yv7BaYF0kagM,Yes,Yes,True,random,0.02
25443,YBDpU2Qh77NE,Yes,Yes,True,adversarial,0.02
30693,YPWjEfOkb6ro,Yes,Yes,True,adversarial,0.02
29092,YLF6x7B0Ppvo,No,Yes,False,adversarial,0.02
10130,Yo_3MDLl_aH0,Yes,Yes,True,random,0.02
11701,YnU-AI3Cmc3M,Yes,Yes,True,random,0.02
17655,YZY4aGEniU_E,No,Yes,False,random,0.02
14982,YrtgVoZCcBw8,No,No,True,popular,0.02
21765,Yne2DpKCIr4Y,No,No,True,random,0.02
14177,YCxaPpRJRkn0,No,No,True,popular,0.02
14682,Y86dNVnTwH6U,Yes,Yes,True,adversarial,0.02
7131,YFDwK7T1JO_0,Yes,Yes,True,adversarial,0.02
1717,YQvATUKXYFBs,No,No,True,random,0.02
904,Y9ZZHvwaH-CU,Yes,Yes,True,adversarial,0.02
9147,Y-nQHwrRLfc0,Yes,Yes,True,adversarial,0.02
19272,Yvsy1IpYmrSY,No,Yes,False,adversarial,0.02
26749,Y1IoHRTUp86c,No,Yes,False,random,0.02
26383,YtwFypUcdgRc,No,Yes,False,random,0.02
2098,YyVVLq4ao1Ck,Yes,No,False,popular,0.02
30987,YbhlhcGONisM,No,Yes,False,adversarial,0.02
14294,YZsTZ7jqbd9M,No,Yes,False,adversarial,0.02
29537,YAf4a-9rcnP0,No,Yes,False,adversarial,0.02
9124,Y-NrFeH-kBSM,Yes,Yes,True,random,0.02
17389,YNwoBDrTlbTI,No,No,True,adversarial,0.02
22789,Y1wW0YJQ-Xa0,Yes,No,False,random,0.02
16829,Y2JV3emH50XU,No,No,True,random,0.02
8313,Yj0KvrVE_Oww,Yes,Yes,True,adversarial,0.02
16864,Yq3SEOW2m4WY,Yes,Yes,True,random,0.02
11381,Yr2djvq1vc68,Yes,Yes,True,random,0.02
30037,Yii3Geza3hAU,Yes,Yes,True,popular,0.02
29880,YSQHYl2Kp5ww,No,Yes,False,adversarial,0.02
7180,YRdC8cviN6Bs,No,No,True,random,0.02
3822,YdYvL6uEMl6E,No,Yes,False,adversarial,0.02
26026,YEUZaxaWqhwg,Yes,Yes,True,adversarial,0.02
6147,YGuizRlAQ8qQ,No,No,True,popular,0.02
6192,Y-DmjkgWa-rw,No,No,True,adversarial,0.02
23182,Y0Dt-pH0pW-Y,Yes,No,False,popular,0.02
3375,YEQVWhHmT_cE,Yes,Yes,True,adversarial,0.02
18909,Y14izd_i3ryE,No,Yes,False,random,0.02
23333,YLvhvAA11oxE,No,No,True,adversarial,0.02
11685,YfYTZVxQ8LJk,Yes,Yes,True,popular,0.02
16109,YinQOrxc_oZo,Yes,No,False,popular,0.02
21237,Yt4prXmPwthg,No,No,True,adversarial,0.02
14242,Y3fomsZXG3aM,Yes,Yes,True,random,0.02
5567,Y0yxEvdnimGg,Yes,Yes,True,popular,0.02
27343,YlgwpIImXCWA,Yes,No,False,random,0.02
1081,YXJba7pTbpD0,No,No,True,random,0.02
16249,YI_vN_BFUr0Y,No,Yes,False,random,0.02
5065,Y79XDcI6xZm0,Yes,Yes,True,popular,0.02
9468,YJfaj4P3us9M,No,Yes,False,adversarial,0.02
20085,YAUmY0YRAFQE,No,No,True,adversarial,0.02
18109,YeRU-rABp8nk,Yes,Yes,True,adversarial,0.02
24155,Yeu5bq0A3XVQ,No,No,True,adversarial,0.02
8338,YhuMLK0oA3L8,No,Yes,False,adversarial,0.02
24363,YlX3k5p2I_g0,Yes,Yes,True,popular,0.02
7079,Ynq0BF9zGkzg,No,Yes,False,random,0.02
25972,YMSziND26UTA,Yes,Yes,True,adversarial,0.02
26811,Yv59uHr-B1no,No,No,True,random,0.02
13545,YBA-lFjpzad4,No,Yes,False,popular,0.02
21860,Y-SkjbQVgJ0M,No,Yes,False,random,0.02
30199,YJsoBpL86R5U,Yes,Yes,True,random,0.02
1601,YFA11v4SmdBc,No,Yes,False,random,0.02
11294,Yn74IYuCe_ms,No,Yes,False,popular,0.02
28281,YK-7Y8yhcUiw,Yes,Yes,True,adversarial,0.02
30469,Yo7jW6Suyfbs,Yes,Yes,True,adversarial,0.02
8025,YD9GHUPGWsV0,No,Yes,False,popular,0.02
16199,YpuZL08fzpXk,No,Yes,False,popular,0.02
26603,YnmLMLgWPmFM,No,Yes,False,adversarial,0.02
14295,YrtgVoZCcBw8,No,No,True,random,0.02
761,YgbtcDoh0q3c,No,No,True,random,0.02
13846,Y4_DjmCg8Ra8,No,Yes,False,popular,0.02
5979,YrUq4w4EUSWA,No,Yes,False,random,0.02
10232,Y8OTd45_6cvY,Yes,Yes,True,adversarial,0.02
22726,YAj_VMUSNjNM,Yes,Yes,True,popular,0.02
